序号,品牌,最终判定,分类依据
620,"MAGIOPY,ANYSMIC",真洋牌,多品牌
621,NOUGAT,待确认,无法快速判断
622,"Dilab,PURELUXE",真洋牌,多品牌
623,aimeangel,待确认,无法快速判断
624,"木桐嘉棣（MOUTON CADET）,XD",待确认,中英混合
625,桃瑞丹,待确认,中英混合
626,哥伦布斯（COLUMBUS）,待确认,中英混合
627,"富山薬品,星睿肌（RECORE SERUM）",待确认,中英混合
628,LUMINEUX,待确认,无法快速判断
629,"克拉米伦庄园（Chateau Clerc Milon）,仓吉",待确认,中英混合
630,FRETTE,待确认,无法快速判断
631,"普瑞纳（PURINA）,德姆克",待确认,中英混合
632,"GAIA,Moccona",真洋牌,多品牌
633,"燃力士,ALPRO",待确认,中英混合
634,"若鹤,银雫",待确认,中英混合
635,"猛士（Moenchshof）,唯森",待确认,中英混合
636,RAID - BESKYT DIG OG DIN FAMILIE,待确认,无法快速判断
637,GLOW-LAB,待确认,无法快速判断
638,"玛尔斯（MARVIS）,SANOTINT",待确认,中英混合
639,"久保田（KUBOTA）,KONISHI",待确认,中英混合
640,"SAVANNA ORCHARDS,万多福",待确认,中英混合
641,BIOXSINE,待确认,无法快速判断
642,"BLESS,立喜乐（ORIHIRO）",待确认,中英混合
643,DNG,真洋牌,短名
644,"奥纯冠（Nature One Dairy）,喜宝（HiPP）",待确认,中英混合
645,"艾帝达姆（INEDIT DAMM）,泰谷（TAGUS）",待确认,中英混合
646,"法老传说（KARL'S SCEPTER）,VILLA MARIA",待确认,中英混合
647,HARNN,真洋牌,短名
648,"Bottega di LungaVita Natural Products,Bottega di LungaVita",真洋牌,多品牌
649,Bio Series,待确认,无法快速判断
650,松山油脂,待确认,中英混合
651,"吉尔斯图尔特（Jill Stuart）,凯朵（KATE）",待确认,中英混合
652,VRSUK,真洋牌,短名
653,"其他家,洋精灵",待确认,中英混合
654,"克斯阿苏尔,十四代",待确认,中英混合
655,"ABRAU,Jenke Vineyards",真洋牌,多品牌
656,Jackit,待确认,无法快速判断
657,POLO CLUB ORIGINAL,待确认,无法快速判断
658,"APCLAB,Le Tan",真洋牌,多品牌
659,"轩尼诗Hennessy,红旗沙",待确认,中英混合
660,"拉瓦萨（LAVAZZA）,David's Cookies",待确认,中英混合
661,珍殿,待确认,中英混合
662,Bonne,真洋牌,短名
663,造小社,待确认,中英混合
664,LUERLING,待确认,无法快速判断
665,SWINKELS FAMILY BREWERS,待确认,无法快速判断
666,zeinpharma,待确认,无法快速判断
667,Caprilac,待确认,无法快速判断
668,"Jenke Vineyards,世界名庄（Fine Wine）",待确认,中英混合
669,"NAPLA,milbon",真洋牌,多品牌
670,BUNNY NATURE,待确认,无法快速判断
671,顺峰宝宝,待确认,中英混合
672,"RIDESAFER,BUBBLE BUM",真洋牌,多品牌
673,"Natio,Healthy Care",真洋牌,已知品牌
674,"Naturata,bett'r GUILT FREE",真洋牌,多品牌
675,"昆庭（CHRISTOFLE）,KAGAMI",待确认,中英混合
676,"NROKEN,野口",待确认,中英混合
677,"柳宗理,NUDE努德",待确认,中英混合
678,"喜宝（HiPP）,Hero Baby",待确认,中英混合
679,"BTNature,Oli6",真洋牌,多品牌
680,"四万十川,沃尔克斯（Walkers）",待确认,中英混合
681,ALAK,真洋牌,短名
682,"POLIGRIP,FRUIT OF THE EARTH",真洋牌,多品牌
683,酷彩（Le Creuset）,待确认,中英混合
684,"德国汉堡（Hamburg-B）,港优",待确认,中英混合
685,LBR,真洋牌,短名
686,"哲库林,爱科博纳-燃酒灵（AlcoBurner）",待确认,中英混合
687,"NUTRISOURCE,PRIMAL",真洋牌,多品牌
688,PALOMA,待确认,无法快速判断
689,"亚发（AhHuat）,旧街场（OLDTOWN）",待确认,中英混合
690,日本叮叮,待确认,中英混合
691,"贝拉米（Bellamy's）,HERO BABY",待确认,中英混合
692,"焙可美（RBV-Birkmann）,MBA",待确认,中英混合
693,"菊正宗,惬而格林",真洋牌,已知品牌
694,"贝娜婷（Penaten）,Ajona",待确认,中英混合
695,"永润福,木桐嘉棣（MOUTON CADET）",待确认,中英混合
696,苏美（sumei）,待确认,中英混合
697,"日,Phoherb",待确认,中英混合
698,"Hero Baby,纽迪希亚（nutricia）",待确认,中英混合
699,"黑桃A（Armand de Brignac）,而今",待确认,中英混合
700,"HEALTH,KirkLand",真洋牌,多品牌
701,"GUM,GUM HYDRAL",真洋牌,多品牌
702,BIBZIZ,待确认,无法快速判断
703,SEMPER,待确认,无法快速判断
704,"BIOSUNN,NORSDOM",真洋牌,多品牌
705,BKAK,真洋牌,短名
706,DIRASS,待确认,无法快速判断
707,physiodose,待确认,无法快速判断
708,"Derlla,Gerllo",真洋牌,多品牌
709,"东字,三育",待确认,中英混合
710,KAGAMI,待确认,无法快速判断
711,希尔思Hill‘s,待确认,中英混合
712,OLLY,真洋牌,短名
713,"生鲜本能（instinct）,美士",待确认,中英混合
714,CUCCIO,待确认,无法快速判断
715,"生鲜本能（instinct）,NUTRISOURCE",待确认,中英混合
716,"Jack N' Jill,NATIO",真洋牌,多品牌
717,"NUDE努德,德运（Devondale）",待确认,中英混合
718,近江兄弟,待确认,中英混合
719,YAKTRAX,待确认,无法快速判断
720,特福芬（Topfer）,待确认,中英混合
721,IRANY,真洋牌,短名
722,"克雷蒙（Cranimals）,Natural Animal Solutions",待确认,中英混合
723,贝拉米（Bellamy's）,待确认,中英混合
724,"其他家,猛士（Moenchshof）",待确认,中英混合
725,DERMOXEN,待确认,无法快速判断
726,"磨栏风车（De Molen）,凡人Mortalis",待确认,中英混合
727,PORT BUDDY,待确认,无法快速判断
728,EIGHT AT THE GATE,待确认,无法快速判断
729,子母（DUTCH LADY）,待确认,中英混合
730,"燃力士,森永（Morinaga）",待确认,中英混合
731,"科拿（Conaprole）,Horizon Organic",待确认,中英混合
732,"XIKAR,COLIBRI",真洋牌,多品牌
733,"菊正宗,丽珍贝加尔",真洋牌,已知品牌
734,"高丝（Kose）,MA＆ME LATTE",待确认,中英混合
735,"沃尔克斯（Walkers）,鸟海誉",待确认,中英混合
736,"FANAWAY,LUCCI AIR",真洋牌,多品牌
737,ROCKMACHERIN,待确认,无法快速判断
738,"WESTGOLD,芝芙莲（GIFFARINE）",待确认,中英混合
739,"ZKHE,PLAYADITO",真洋牌,多品牌
740,"伦士度,晨洁（PURE）",待确认,中英混合
741,NOW FRESH,待确认,无法快速判断
742,"Wealthy Health,贝拉米（Bellamy's）",待确认,中英混合
743,Jack N' Jill,待确认,无法快速判断
744,"维佳善,阪聖",待确认,中英混合
745,"乡间生活（COUNTRY LIFE）,VENUS",待确认,中英混合
746,"Fertilix,Unisom",真洋牌,多品牌
747,"万宁;MANNINGS,海狗丸",待确认,中英混合
748,"Abtei,ABTEI",真洋牌,多品牌
749,"馬祖高粱酒（MATSU KAOLIANG LIQUOR）,金门高粱",待确认,中英混合
750,BTNature,待确认,无法快速判断
751,KHKN,真洋牌,短名
752,"BARON PHILIPPE BARON,靓次伯酒庄（CHATEAU LYNCH BAGES）",待确认,中英混合
753,"菊正宗,未来（VAPE）",真洋牌,已知品牌
754,"SWANSON,明治药品",待确认,中英混合
755,瑞一宝,待确认,中英混合
756,"NANOCARE,LUX",真洋牌,多品牌
757,瑚玛娜（Humana）,待确认,中英混合
758,INSRE,真洋牌,短名
759,"ORIHIRO,万宁;MANNINGS",待确认,中英混合
760,NUK,真洋牌,短名
761,MEXNIA,待确认,无法快速判断
762,"Melvados,LOVE,AFARE",真洋牌,多品牌
763,"Top life,Wealthy Health",真洋牌,多品牌
764,"朗森,ill corona",待确认,中英混合
765,狐狸爸爸,待确认,中英混合
766,小雅象,待确认,中英混合
767,"HARIO,NUDE努德",待确认,中英混合
768,"可口可乐（Coca Cola）,三得利Suntory",真洋牌,已知品牌
769,布朗博士,待确认,中英混合
770,"CALERIEHEALTH,VEAAG",真洋牌,多品牌
771,"Ladyfan,Fogair",真洋牌,多品牌
772,"恩特雷,Chobani",待确认,中英混合
773,"锅岛,极圣",待确认,中英混合
774,newmo,真洋牌,短名
775,RapidLash,待确认,无法快速判断
776,棕榄（PALMOLIVE）,待确认,中英混合
777,鱼尾丝（MERSILK）,待确认,中英混合
778,卡比（CANIDAE）,待确认,中英混合
779,白州,待确认,中英混合
780,SIERRA DE UTIEL,待确认,无法快速判断
781,STAREAR,待确认,无法快速判断
782,比那氏（Propolinse）,待确认,中英混合
783,"DONGWHA,DONGWHA PHARM",真洋牌,多品牌
784,朝日啤酒,待确认,中英混合
785,"Bosisto's,ENYA",真洋牌,多品牌
786,GGOM BELLE,待确认,无法快速判断
787,"ele,DU‘IT",真洋牌,多品牌
788,"SAWAKI,仓吉（KURAYOSHI）",待确认,中英混合
789,卡诗,待确认,中英混合
790,牛栏（bebilon）,待确认,中英混合
791,巴斯克（Los Vascos）,待确认,中英混合
792,cure,真洋牌,短名
793,卡蔓（Casmara）,待确认,中英混合
794,宝贝与我,待确认,中英混合
795,"乐呋,野付",待确认,中英混合
796,黛伦堡,待确认,中英混合
797,Mrudee,待确认,无法快速判断
798,"格兰纳里奇（GlenAllachie）,CITADELLE",待确认,中英混合
799,维蕾德（WELEDA）,待确认,中英混合
800,乐敦（ROHTO）,待确认,中英混合
801,So Acai,待确认,无法快速判断
802,Maxigenes,待确认,无法快速判断
803,MODAMODA,待确认,无法快速判断
804,"YOSHIKAWA,特福（Tefal）",待确认,中英混合
805,Original Sprout,待确认,无法快速判断
806,GLGFAS,真洋牌,已知品牌
807,潤樽,待确认,中英混合
808,little remedies,待确认,无法快速判断
809,伯特小蜜蜂（Burt's Bees）,待确认,中英混合
810,RYUN,真洋牌,短名
811,gli gli,待确认,无法快速判断
812,拉格德克（LAGEDEKE）,待确认,中英混合
813,怀尔德,待确认,中英混合
814,POLO GLOBAL LEAGUE,待确认,无法快速判断
815,"阿华田（Ovaltine）,澳洲",待确认,中英混合
816,"安格奥斯酒庄（Domaine Anne Gros）,卓龙梦特城堡（CHATEAU TROPLONG MONDOT）",待确认,中英混合
817,"NusaPure,pipingrock",真洋牌,多品牌
818,POKALEN,待确认,无法快速判断
819,"SIDERAL,WAXGREEN",真洋牌,多品牌
820,"华大（BGI）,21金维他健优",待确认,中英混合
821,"科拿（Conaprole）,德运（Devondale）",待确认,中英混合
822,FARMINA PET FOODS,待确认,无法快速判断
823,"珀莱雅双抗,DONNA",待确认,中英混合
824,Rosette,待确认,无法快速判断
825,"教士（Franziskaner）,丹麦蓝罐（Kjeldsens）",待确认,中英混合
826,"SHAWKEA,asahi",真洋牌,多品牌
827,"高丝（Kose）,dup",待确认,中英混合
828,"复轻园,Diiduk",待确认,中英混合
829,"MiniJumbuk,Unichi",真洋牌,多品牌
830,"PO PETROL OFISI,华夏堂",待确认,中英混合
831,"Primalg,Ruis Olimar",真洋牌,已知品牌
832,"四万十川,LORETTA",待确认,中英混合
833,RVIP,真洋牌,短名
834,"ORIENTAL KOPI,KEDAI KOPITIAM ORIENTAL KOPI",真洋牌,多品牌
835,AMPLEUR,待确认,无法快速判断
836,"大鼻子（BigPeat）,HELLYERS ROAD",待确认,中英混合
837,"斯莫吉,凯狮（CASS）",待确认,中英混合
838,"铁尺（tiechi）,SAVANNA ORCHARDS",待确认,中英混合
839,"德劳特沃（Gerolsteiner）,普雷克斯（Purex）",待确认,中英混合
840,"SEMPER,森宝（Semper）",待确认,中英混合
841,"Merino,Alpine Silk",真洋牌,多品牌
842,ADIEN,真洋牌,短名
843,"BTNature,BTNATURE",真洋牌,多品牌
844,"ORIHIRO,菓の道",待确认,中英混合
845,"Dariya,OTHER/其他",待确认,中英混合
846,patchi,待确认,无法快速判断
847,"Nature's Way,coromega",真洋牌,多品牌
848,EVA PRODUCTS,待确认,无法快速判断
849,"Ianys,LUCKY MONSTER",真洋牌,多品牌
850,LP LaPulovce,待确认,无法快速判断
851,"娥佩兰（OPERA）,马油（LOSHI）",待确认,中英混合
852,"pons,SIERRA DE UTIEL",真洋牌,多品牌
853,CHILDS FARM,待确认,无法快速判断
854,RAPPORT,待确认,无法快速判断
855,Karen Murrell,待确认,无法快速判断
856,"丽珍贝加尔,BONZ",待确认,中英混合
857,"NutriNest,SAOTHAIDUONG",真洋牌,多品牌
858,"Ajona,Arya-Laya",真洋牌,多品牌
859,Moihanr,待确认,无法快速判断
860,"Turkey Hill Sugarbush,MONGDIES",真洋牌,多品牌
861,"Svecymikov,Leypian",真洋牌,多品牌
862,Aqualan,待确认,无法快速判断
863,"洛神山庄,佳得美庄园（CH. CANTEMERLE ）",待确认,中英混合
864,QZEQZE,待确认,无法快速判断
865,"卡农酒庄（Chateau Canon）,白牡丹",待确认,中英混合
866,"阿舍食堂,XIN LONG YA TEA",待确认,中英混合
867,"NROKEN,WAXGREEN",真洋牌,多品牌
868,"New English Teas,BACHA",真洋牌,多品牌
869,NEUE,真洋牌,短名
870,"歌润,绽媄娅",待确认,中英混合
871,"AngelHeart,GARRACK",真洋牌,多品牌
872,"Refine,爱丽思（IRIS）",待确认,中英混合
873,哈根纽翠斯（NUTRIENCE）,待确认,中英混合
874,"PAPATYA,澳芝曼（G＆M）",待确认,中英混合
875,"保美雅（Promina）,Dentek",待确认,中英混合
876,"巨浪大切（EDOpack）,德运（Devondale）",待确认,中英混合
877,"小蓝瓶（TAKAMI）,Neck & Deco",待确认,中英混合
878,"Dariya,Preparation H",真洋牌,多品牌
879,"Maxigenes,Healthy Care",真洋牌,已知品牌
880,DEVIANCE,待确认,无法快速判断
881,"Caprilac,皮爷咖啡",待确认,中英混合
882,"保牌,Win Win",待确认,中英混合
883,"MY.ORGANICS,资生堂专业美发（SHISEIDO PROFESSIONAL）",待确认,中英混合
884,"格兰纳里奇（GlenAllachie）,遊穗",待确认,中英混合
885,"Turkey Hill Sugarbush,维蕾德（WELEDA）",待确认,中英混合
886,"三花（CARNATION）,白兰氏（Brands）",待确认,中英混合
887,"BARON PHILIPPE BARON,贝玛格雷（Bernard Magrez）",待确认,中英混合
888,"芭乐雅（Balea）,Dontodent",待确认,中英混合
889,"贝拉米（Bellamy's）,喜宝（HiPP）",待确认,中英混合
890,"Catz finefood,福摩（Fromm）",待确认,中英混合
891,"WESTGOLD,海特安可金卡露",待确认,中英混合
892,"Ajona,MARTINA GEBHARDT",真洋牌,多品牌
893,"Off&Relax,Naturie",真洋牌,多品牌
894,SUTRICON,待确认,无法快速判断
895,龙角散,待确认,中英混合
896,妙思乐（Mustela）,待确认,中英混合
897,"SWANSON,普丽普莱（Puritan's Pride）",待确认,中英混合
898,"安速（ARS）,ADVION",待确认,中英混合
899,TWO HANDS WINES,待确认,无法快速判断
900,"三养（SAMYANG）,日清",待确认,中英混合
901,"来发记,FRANCO'S",待确认,中英混合
902,"UNIMAT,pipingrock",真洋牌,多品牌
903,"惠宝（White Glo）,杰士派（GATSBY）",待确认,中英混合
904,SINFI,真洋牌,短名
905,"维蕾德（WELEDA）,芭乐雅（Balea）",待确认,中英混合
906,"NoBrand,一百份（cocoaland LOT100）",待确认,中英混合
907,"CLAYMORE,Jenke Vineyards",真洋牌,多品牌
908,"吉百利（CADBURY）,添爱尊尚咖啡（TNI KING COFFEE）",真洋牌,已知品牌
909,"Fox's,阿华田（Ovaltine）",待确认,中英混合
910,"德国华沙,野口",待确认,中英混合
911,"喜宝（HiPP）,茵缇玛（Intima）",待确认,中英混合
912,"livon labs,scenkan",真洋牌,多品牌
913,"ILEACH,KENTUCKY OWL",真洋牌,多品牌
914,Nutiva,待确认,无法快速判断
915,Cheri,真洋牌,短名
916,"PIG'S NOSE,SAWAKI",真洋牌,多品牌
917,"too faced,Tondi",真洋牌,多品牌
918,"睿嫣,妮塔莉雅（Nethallia）",待确认,中英混合
919,"戈博（GERBER）,MBARC",待确认,中英混合
920,"DOMAINE JEAN-LOUIS CHAVE,世界名庄（Fine Wine）",待确认,中英混合
921,"Rofagy,Rewi",真洋牌,多品牌
922,"CERVIDOR,NOW",真洋牌,多品牌
923,"小龙战舰,托布雷",待确认,中英混合
924,"MCM,Ameri-Vita",真洋牌,多品牌
925,"DANA ESTATES,拉蒙蒂耶（LARMANDIER-BERNIER）",待确认,中英混合
926,"铁尺（tiechi）,莱茵",待确认,中英混合
927,Lazy Society,待确认,无法快速判断
928,"澳洲,AOMEVOR",待确认,中英混合
929,"SNUGGLE,当妮（DOWNY）",待确认,中英混合
930,"贝娜婷（Penaten）,芭乐雅（Balea）",待确认,中英混合
931,C,真洋牌,短名
932,"NUDE努德,柳宗理",待确认,中英混合
933,"Glencadam,嘉伯乐（PAUL JABOULET AINE）",待确认,中英混合
934,"ICHENDORF,FANOLA",真洋牌,多品牌
935,"高丝（Kose）,ORIHIRO",待确认,中英混合
936,"武田薬品,Eisai",待确认,中英混合
937,"旭福益节,GRANVER",待确认,中英混合
938,"SAC'S BAR,kissora",真洋牌,多品牌
939,"OFF,意立诗 ELLIPS",待确认,中英混合
940,欧恩焙,待确认,中英混合
941,"New English Teas,新鳳鳴",待确认,中英混合
942,SIKANDER-E-AZAM,待确认,无法快速判断
943,"VetWiz,SEACODE",真洋牌,多品牌
944,"Bella B,bellab",真洋牌,多品牌
945,"Horizon Organic,德运（Devondale）",待确认,中英混合
946,"CAMELICIOUS,patchi",真洋牌,多品牌
947,Tahe,真洋牌,短名
948,Madonna,待确认,无法快速判断
949,BIOSSANCE,待确认,无法快速判断
950,RANCEAS,待确认,无法快速判断
951,沙芬（SAVINELLI）,待确认,中英混合
952,"楼上 樓上,楼上",待确认,中英混合
953,absolutearomas,待确认,无法快速判断
954,"scenkan,BANANA SHARK",真洋牌,多品牌
955,"product hair wax,Dariya",真洋牌,多品牌
956,"克拉米伦庄园（Chateau Clerc Milon）,白雪（PIPER-HEIDSIECK）",待确认,中英混合
957,"FRUIT KING,MADAME HENG",真洋牌,多品牌
958,"盖亚的秘密,樱菲清",待确认,中英混合
959,FIDQIOG,待确认,无法快速判断
960,"奥纯冠（Nature One Dairy）,贝拉米（Bellamy's）",待确认,中英混合
961,"Mini Babybel,乐芝牛",待确认,中英混合
962,"KISS YOU,爱丽思（IRIS）",待确认,中英混合
963,"秀雅韩（Sooryehan）,BIOHEAL BOH VITARETINOL",待确认,中英混合
964,"专心楼,Nutrition Care",待确认,中英混合
965,可瑞康（karicare）,待确认,中英混合
966,"Dariya,OFF",真洋牌,多品牌
967,"Certain Dri,GUM",真洋牌,多品牌
968,"上標油（SIANG PURE OIL）,Green Herb",待确认,中英混合
969,"教士（Franziskaner）,科罗娜",待确认,中英混合
970,"丝格德（Schogetten）,沃集鲜",待确认,中英混合
971,SAOTHAIDUONG,待确认,无法快速判断
972,"Dermaroller,Ajona",真洋牌,多品牌
973,"ANS,PRO-LIFE",真洋牌,多品牌
974,"HealthyCare,life extension",真洋牌,多品牌
975,"HENRI CHARPENTIER,BACHA",真洋牌,多品牌
976,"阿华田（Ovaltine）,Tropical Fields",待确认,中英混合
977,"Highland Shepherd Scotch whisky,Old Smitty's",真洋牌,多品牌
978,"吉拉（JURA）,托本莫瑞（TOBERMORY）",待确认,中英混合
979,Truelog,待确认,无法快速判断
980,"貝印,芭乐雅（Balea）",待确认,中英混合
981,"马膏 HERBAMEDICUS,劲爽",待确认,中英混合
982,"狄妮诗,正鲜",待确认,中英混合
983,"二宝（Nimm2）,哲库林",待确认,中英混合
984,"Milton,汤美天地（Tommee Tippee）",待确认,中英混合
985,MEDICURA,待确认,无法快速判断
986,"SHEVEU,GOAT",真洋牌,多品牌
987,TOKAJI,待确认,无法快速判断
988,AVALON,待确认,无法快速判断
989,雄鸡标（AYAM BRAND）,待确认,中英混合
990,"EGO,QV",真洋牌,多品牌
991,"孤独摇滚,一拳超人",待确认,中英混合
992,"ABTEI,Compound W",真洋牌,多品牌
993,茵葩兰（ENPRANI）,待确认,中英混合
994,"Tondi,颐莲（RELLET）",待确认,中英混合
995,"SHEVEU,麦迪安（Median）",待确认,中英混合
996,MOETA,真洋牌,短名
997,"BLANCO,Montana West",真洋牌,已知品牌
998,"TO-PLAN,RD",真洋牌,多品牌
999,"Dariya,DM S-QUITO FREE",真洋牌,多品牌
1000,Weelott,待确认,无法快速判断
1001,"珀莱雅双抗,非常丸美",待确认,中英混合
1002,"樱之素,三佳利（Sangaria）",待确认,中英混合
1003,"SOFFEL,未来（VAPE）",待确认,中英混合
1004,新鳳鳴,待确认,中英混合
1005,堡歌家族酒庄（Burge Family Winemaker）,待确认,中英混合
1006,"Le Tan,KARYTHA",真洋牌,多品牌
1007,"小熊糖（L'il critters）,MegaRed",待确认,中英混合
1008,"鲁臣世家庄园（Chateau Rauzan Segla）,靓茨伯（Chateau Lynch-Bages）",待确认,中英混合
1009,"爱丽思（IRIS）,baby smile",待确认,中英混合
1010,"CCOKIO,Le Petit Olivier",真洋牌,多品牌
1011,"高丝（Kose）,Malin+Goetz",待确认,中英混合
1012,"OTHER/其他,杰士派（GATSBY）",待确认,中英混合
1013,"伊藤园（ITOEN）,日清（NISSIN）",待确认,中英混合
1014,"Dariya,THE LAUNDRESS",真洋牌,多品牌
1015,"Body Attack,Biox Performance Nutrition",真洋牌,多品牌
1016,"杰士派（GATSBY）,碧缇丝（batiste）",待确认,中英混合
1017,"高丝（Kose）,Rosette",待确认,中英混合
1018,miracle baby,待确认,无法快速判断
1019,"Compound W,惠宝（White Glo）",待确认,中英混合
1020,"黛伦堡,世界名庄（Fine Wine）",待确认,中英混合
1021,"ziaja,ALM COSMELICS",真洋牌,多品牌
1022,叙娅摩根,待确认,中英混合
1023,"THE WILD GEESE,PROPER TWELVE",真洋牌,多品牌
1024,LACALUT,待确认,无法快速判断
1025,CHARIANO,待确认,无法快速判断
1026,"牛乳石硷,LUCAS' PAPAW CREAM",待确认,中英混合
1027,K9 Natural,待确认,无法快速判断
1028,"桃乐丝（Torres）,格兰纳里奇（GlenAllachie）",待确认,中英混合
1029,"舒可薇（ScarAway）,霓净思（Neogence）",待确认,中英混合
1030,47,待确认,无法快速判断
1031,"OFF,小熊糖（L'il critters）",待确认,中英混合
1032,迪士尼（Disney）,待确认,中英混合
1033,"缤若诗,INFINITY KOSE",待确认,中英混合
1034,原知因,待确认,中英混合
1035,"Nature's Way,HEALTHY CARE",真洋牌,已知品牌
1036,Eleytele,待确认,无法快速判断
1037,剑匠零,待确认,中英混合
1038,"高丝（Kose）,OTHER/其他",待确认,中英混合
1039,"朝日（Asahi）,三宝乐Sapporo",待确认,中英混合
1040,"生鲜本能（instinct）,纽顿（Nutram Number）",待确认,中英混合
1041,"东拓,芭乐雅（Baleya）",待确认,中英混合
1042,"巴慕达（BALMUDA）,夏普",待确认,中英混合
1043,CAPTAIN FAWCETT,待确认,无法快速判断
1044,"XIKAR,ELIE BLEU",真洋牌,多品牌
1045,"Biowell,BECHI",真洋牌,多品牌
1046,"牛乳石硷,SHEVEU",待确认,中英混合
1047,"ABTEI,PLIFT",真洋牌,多品牌
1048,"SUQQU,CHARLOTTE TILBURY（CT）",真洋牌,多品牌
1049,"高丝（Kose）,RISM",待确认,中英混合
1050,"AG,JOLI",真洋牌,多品牌
1051,"SWANSON,asahi",真洋牌,多品牌
1052,"Dariya,Refine",真洋牌,多品牌
1053,"睿嫣,Dariya",待确认,中英混合
1054,"雅葵,Dariya",待确认,中英混合
1055,贝亲彩,待确认,中英混合
1056,"丝丽诺妃,Dariya",待确认,中英混合
1057,"大马赞赞来,CA KD",待确认,中英混合
1058,"VITAL QI,维特健灵",待确认,中英混合
1059,MASAI MARA,待确认,无法快速判断
1060,"VINACAFE,中原（TRUNG NGUYEN）",待确认,中英混合
1061,璞医香（Puressentiel）,待确认,中英混合
1062,安满（ANMUM）,待确认,中英混合
1063,皮爷咖啡,待确认,中英混合
1064,"WALDEN FARMS,KAI Brand",真洋牌,多品牌
1065,"贝拉米（Bellamy's）,德运（Devondale）",待确认,中英混合
1066,VITALP,待确认,无法快速判断
1067,florena,待确认,无法快速判断
1068,DONG XIANG ZUI 東香醉,待确认,中英混合
1069,我的美麗日記,待确认,中英混合
1070,"金门金牌一条根,金门一条根",待确认,中英混合
1071,SABORJAMON,待确认,无法快速判断
1072,"KENTUCKY OWL,Seagram's",真洋牌,多品牌
1073,"菊正宗,FANOLA",真洋牌,已知品牌
1074,NEWBY,真洋牌,短名
1075,"Colongon,贝臣（Bübchen）",待确认,中英混合
1076,VAGIVAL,待确认,无法快速判断
1077,"SUTRICON,Ausiki",真洋牌,多品牌
1078,"Caprilac,Two cows",真洋牌,多品牌
1079,optima natura,待确认,无法快速判断
1080,"保美雅（Promina）,Lucky Trendy",待确认,中英混合
1081,Cliganic,待确认,无法快速判断
1082,"桃乐丝（Torres）,埃德拉多尔（EDRADOUR）",待确认,中英混合
1083,"雅葵,GUM",待确认,中英混合
1084,Revium,待确认,无法快速判断
1085,"GLYSOLID,Dariya",真洋牌,多品牌
1086,"卡慕（CAMUS）,人头马",待确认,中英混合
1087,"波路梦（Bourbon）,能多益（Ferrero Nutella）",待确认,中英混合
1088,"格兰纳里奇（GlenAllachie）,高地女王（HIGHLAND QUEEN）",待确认,中英混合
1089,"PERDAYS,阿莫菲克（AMORPHICAL）",待确认,中英混合
1090,"Frosch,Ka",真洋牌,多品牌
1091,"高丝（Kose）,保美雅（Promina）",待确认,中英混合
1092,"THE LAUNDRESS,雅葵",待确认,中英混合
1093,"EXACTING,玛丽安保莱（MARIANNEBOLLE）",待确认,中英混合
1094,sxa,真洋牌,短名
1095,"贝拉米（Bellamy's）,Bubs",待确认,中英混合
1096,"玛尔斯（MARVIS）,兰诺（Lenor）",待确认,中英混合
1097,"jBp,HABA",真洋牌,多品牌
1098,"Amino mason,亲皙（ARAU）",待确认,中英混合
1099,"奥纯冠（Nature One Dairy）,艾优睿",待确认,中英混合
1100,"ROSEFEN,李施德林 LISTERINE",待确认,中英混合
1101,"味霸,白色恋人",待确认,中英混合
1102,"Dariya,SCHOENENBERGER",真洋牌,多品牌
1103,"KWGO,ROYAL PALM POLO SPORTS CLUB",真洋牌,多品牌
1104,"Tommee Tippee,VANICREAM",真洋牌,多品牌
1105,"阿佩辛,KUJIRA",待确认,中英混合
1106,百乐满（Paloma）,待确认,中英混合
1107,Zonsmo,待确认,无法快速判断
1108,"皮爷咖啡,莱家（LOACKER）",真洋牌,已知品牌
1109,"贝拉米（Bellamy's）,海普诺凯1897（Hyprocal1897）",待确认,中英混合
1110,"Remeo,Little Moons",真洋牌,多品牌
1111,"高丝（Kose）,菊正宗",真洋牌,已知品牌
1112,"贝拉米（Bellamy's）,Caprilac",待确认,中英混合
1113,"三花（CARNATION）,BYA,บี วาย เอ",待确认,中英混合
1114,"山崎（Yamazaki）,云顶（SpringBank）",待确认,中英混合
1115,suremoco,待确认,无法快速判断
1116,臻护新苼,待确认,中英混合
1117,牛乳石硷,待确认,中英混合
1118,Polo Sud,待确认,无法快速判断
1119,"极地双头鹰,轩尼诗",待确认,中英混合
1120,"城愿,清妍萃",待确认,中英混合
1121,"高丝（Kose）,巴黎欧莱雅沙龙专属（L'OREAL PROFESSIONNEL PARIS）",待确认,中英混合
1122,"波路梦（Bourbon）,味霸",待确认,中英混合
1123,"切瑞蒂（CERRUTI）,Malin+Goetz",待确认,中英混合
1124,"GLGFAS,SPRING SHEEP",真洋牌,已知品牌
1125,kuvive,待确认,无法快速判断
1126,"JOLI,GEV",真洋牌,多品牌
1127,Markos,待确认,无法快速判断
1128,"BEC,HerbSense",真洋牌,多品牌
1129,"贝拉米（Bellamy's）,森宝（Semper）",待确认,中英混合
1130,"格兰纳里奇（GlenAllachie）,The Broody Hen",待确认,中英混合
1131,"珊珂,BOTANIST",待确认,中英混合
1132,"艾天然（Attenir）,皇后的秘密",待确认,中英混合
1133,"安瓶（CEMOY）,朱栈（red chamber）",待确认,中英混合
