序号,品牌,判定,价格虚高风险,原因,数据来源
553,"铂金（PT）,佳迷（COERMY）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
554,"AVRIL,SunRype",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
555,DR.ORACLE,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
556,QIANLEE,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
557,YSSKK,疑似假洋牌(无元音),高,"无元音字母,高风险生造名",规则推断·未核验
558,betweena,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
559,ReFa,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
560,Sensatia,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
561,REVISIS,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
562,VISN,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
563,Colongon,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
564,"Outlier,STAUD BEAUTY",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
565,"幻帝,诺奥",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
566,加州宝宝（California baby）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
567,"泰谷（TAGUS）,艾帝达姆（INEDIT DAMM）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
568,"唯他可可（ALL MARKET）,彩響",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
569,"纪梵哲GIVANZE,纪梵哲",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
570,喜宝（HiPP）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
571,每日（Maeil）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
572,"Losoki,菊正宗",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
573,SIBERIAN WELLNESS,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
574,"Oxeagle,斯旺森（SWANSON）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
575,白牡丹,非假洋牌(国产),低,需进一步核实,规则推断·未核验
576,soffell,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
577,WDW,疑似假洋牌(无元音),高,"无元音字母,高风险生造名",规则推断·未核验
578,FMUKE,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
579,MURUEL / 牧麗兒,待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
580,OVQ,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
581,特福（Tefal）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
582,"星之卡比,面包超人 ANPANMAN",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
583,PRIMAL,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
584,Perspirex,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
585,贺寿利（Healtheries）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
586,Lechepus,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
587,ADVION,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
588,"闻绮（Venchi）,patchi",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
589,NANOCARE,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
590,德国世家（Dr.Hauschka）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
591,SOS,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
592,STBRIN,疑似假洋牌,高,"查无母国信息,高度疑似假洋牌",已联网核验
593,Dr.Nanna,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
594,"银雫,银の雫",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
595,"HAPPY VILLAGE,SUNNY FRUIT",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
596,THINKBABY,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
597,Cellevate 神幹美,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
598,"爱薇牛（jersey）,BTNATURE",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
599,利尻昆布,非假洋牌(国产),低,需进一步核实,规则推断·未核验
600,OIMG,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
601,ZHENMI,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
602,"山崎（Yamazaki）,麦卡伦（MACALLAN）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
603,PUNOMO,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
604,"喜宝（HiPP）,森宝（Semper）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
605,"芭乐雅（Balea）,艾薇德（Alverde）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
606,ANNY,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
607,"博格步（BUGABOO）,karmababy",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
608,MEVE,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
609,"日出寿,VAPE",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
610,"Gm,日本汉方",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
611,真珠肌,非假洋牌(国产),低,需进一步核实,规则推断·未核验
612,"四万十川,菊正宗",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
613,"Catz finefood,MJAMJAM",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
614,"UNIMAT,Horbaach",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
615,"其他家,Vital Essentials",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
616,倩诗丽（CEZANNE）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
617,Nuilaa,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
618,Only Organic,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
619,Krauterhof,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
620,"MAGIOPY,ANYSMIC",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
621,NOUGAT,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
622,"Dilab,PURELUXE",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
623,aimeangel,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
624,"木桐嘉棣（MOUTON CADET）,XD",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
625,桃瑞丹,非假洋牌(国产),低,需进一步核实,规则推断·未核验
626,哥伦布斯（COLUMBUS）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
627,"富山薬品,星睿肌（RECORE SERUM）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
628,LUMINEUX,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
629,"克拉米伦庄园（Chateau Clerc Milon）,仓吉",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
630,FRETTE,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
631,"普瑞纳（PURINA）,德姆克",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
632,"GAIA,Moccona",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
633,"燃力士,ALPRO",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
634,"若鹤,银雫",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
635,"猛士（Moenchshof）,唯森",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
636,RAID - BESKYT DIG OG DIN FAMILIE,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
637,GLOW-LAB,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
638,"玛尔斯（MARVIS）,SANOTINT",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
639,"久保田（KUBOTA）,KONISHI",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
640,"SAVANNA ORCHARDS,万多福",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
641,BIOXSINE,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
642,"BLESS,立喜乐（ORIHIRO）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
643,DNG,疑似假洋牌(无元音),高,"无元音字母,高风险生造名",规则推断·未核验
644,"奥纯冠（Nature One Dairy）,喜宝（HiPP）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
645,"艾帝达姆（INEDIT DAMM）,泰谷（TAGUS）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
646,"法老传说（KARL'S SCEPTER）,VILLA MARIA",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
647,HARNN,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
648,"Bottega di LungaVita Natural Products,Bottega di LungaVita",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
649,Bio Series,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
650,松山油脂,非假洋牌(国产),低,需进一步核实,规则推断·未核验
651,"吉尔斯图尔特（Jill Stuart）,凯朵（KATE）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
652,VRSUK,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
653,"其他家,洋精灵",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
654,"克斯阿苏尔,十四代",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
655,"ABRAU,Jenke Vineyards",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
656,Jackit,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
657,POLO CLUB ORIGINAL,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
658,"APCLAB,Le Tan",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
659,"轩尼诗Hennessy,红旗沙",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
660,"拉瓦萨（LAVAZZA）,David's Cookies",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
661,珍殿,非假洋牌(国产),低,需进一步核实,规则推断·未核验
662,Bonne,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
663,造小社,非假洋牌(国产),低,需进一步核实,规则推断·未核验
664,LUERLING,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
665,SWINKELS FAMILY BREWERS,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
666,zeinpharma,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
667,Caprilac,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
668,"Jenke Vineyards,世界名庄（Fine Wine）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
669,"NAPLA,milbon",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
670,BUNNY NATURE,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
671,顺峰宝宝,非假洋牌(国产),低,需进一步核实,规则推断·未核验
672,"RIDESAFER,BUBBLE BUM",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
673,"Natio,Healthy Care",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
674,"Naturata,bett'r GUILT FREE",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
675,"昆庭（CHRISTOFLE）,KAGAMI",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
676,"NROKEN,野口",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
677,"柳宗理,NUDE努德",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
678,"喜宝（HiPP）,Hero Baby",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
679,"BTNature,Oli6",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
680,"四万十川,沃尔克斯（Walkers）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
681,ALAK,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
682,"POLIGRIP,FRUIT OF THE EARTH",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
683,酷彩（Le Creuset）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
684,"德国汉堡（Hamburg-B）,港优",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
685,LBR,疑似假洋牌(无元音),高,"无元音字母,高风险生造名",规则推断·未核验
686,"哲库林,爱科博纳-燃酒灵（AlcoBurner）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
687,"NUTRISOURCE,PRIMAL",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
688,PALOMA,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
689,"亚发（AhHuat）,旧街场（OLDTOWN）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
690,日本叮叮,非假洋牌(国产),低,需进一步核实,规则推断·未核验
691,"贝拉米（Bellamy's）,HERO BABY",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
692,"焙可美（RBV-Birkmann）,MBA",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
693,"菊正宗,惬而格林",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
694,"贝娜婷（Penaten）,Ajona",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
695,"永润福,木桐嘉棣（MOUTON CADET）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
696,苏美（sumei）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
697,"日,Phoherb",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
698,"Hero Baby,纽迪希亚（nutricia）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
699,"黑桃A（Armand de Brignac）,而今",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
700,"HEALTH,KirkLand",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
701,"GUM,GUM HYDRAL",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
702,BIBZIZ,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
703,SEMPER,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
704,"BIOSUNN,NORSDOM",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
705,BKAK,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
706,DIRASS,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
707,physiodose,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
708,"Derlla,Gerllo",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
709,"东字,三育",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
710,KAGAMI,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
711,希尔思Hill‘s,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
712,OLLY,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
713,"生鲜本能（instinct）,美士",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
714,CUCCIO,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
715,"生鲜本能（instinct）,NUTRISOURCE",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
716,"Jack N' Jill,NATIO",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
717,"NUDE努德,德运（Devondale）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
718,近江兄弟,非假洋牌(国产),低,需进一步核实,规则推断·未核验
719,YAKTRAX,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
720,特福芬（Topfer）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
721,IRANY,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
722,"克雷蒙（Cranimals）,Natural Animal Solutions",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
723,贝拉米（Bellamy's）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
724,"其他家,猛士（Moenchshof）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
725,DERMOXEN,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
726,"磨栏风车（De Molen）,凡人Mortalis",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
727,PORT BUDDY,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
728,EIGHT AT THE GATE,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
729,子母（DUTCH LADY）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
730,"燃力士,森永（Morinaga）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
731,"科拿（Conaprole）,Horizon Organic",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
732,"XIKAR,COLIBRI",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
733,"菊正宗,丽珍贝加尔",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
734,"高丝（Kose）,MA＆ME LATTE",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
735,"沃尔克斯（Walkers）,鸟海誉",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
736,"FANAWAY,LUCCI AIR",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
737,ROCKMACHERIN,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
738,"WESTGOLD,芝芙莲（GIFFARINE）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
739,"ZKHE,PLAYADITO",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
740,"伦士度,晨洁（PURE）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
741,NOW FRESH,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
742,"Wealthy Health,贝拉米（Bellamy's）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
743,Jack N' Jill,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
744,"维佳善,阪聖",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
745,"乡间生活（COUNTRY LIFE）,VENUS",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
746,"Fertilix,Unisom",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
747,"万宁;MANNINGS,海狗丸",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
748,"Abtei,ABTEI",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
749,"馬祖高粱酒（MATSU KAOLIANG LIQUOR）,金门高粱",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
750,BTNature,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
751,KHKN,疑似假洋牌(无元音),高,"无元音字母,高风险生造名",规则推断·未核验
752,"BARON PHILIPPE BARON,靓次伯酒庄（CHATEAU LYNCH BAGES）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
753,"菊正宗,未来（VAPE）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
754,"SWANSON,明治药品",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
755,瑞一宝,非假洋牌(国产),低,需进一步核实,规则推断·未核验
756,"NANOCARE,LUX",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
757,瑚玛娜（Humana）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
758,INSRE,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
759,"ORIHIRO,万宁;MANNINGS",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
760,NUK,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
761,MEXNIA,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
762,"Melvados,LOVE,AFARE",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
763,"Top life,Wealthy Health",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
764,"朗森,ill corona",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
765,狐狸爸爸,非假洋牌(国产),低,需进一步核实,规则推断·未核验
766,小雅象,非假洋牌(国产),低,需进一步核实,规则推断·未核验
767,"HARIO,NUDE努德",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
768,"可口可乐（Coca Cola）,三得利Suntory",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
769,布朗博士,非假洋牌(国产),低,需进一步核实,规则推断·未核验
770,"CALERIEHEALTH,VEAAG",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
771,"Ladyfan,Fogair",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
772,"恩特雷,Chobani",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
773,"锅岛,极圣",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
774,newmo,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
775,RapidLash,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
776,棕榄（PALMOLIVE）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
777,鱼尾丝（MERSILK）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
778,卡比（CANIDAE）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
779,白州,非假洋牌(国产),低,需进一步核实,规则推断·未核验
780,SIERRA DE UTIEL,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
781,STAREAR,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
782,比那氏（Propolinse）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
783,"DONGWHA,DONGWHA PHARM",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
784,朝日啤酒,非假洋牌(国产),低,需进一步核实,规则推断·未核验
785,"Bosisto's,ENYA",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
786,GGOM BELLE,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
787,"ele,DU‘IT",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
788,"SAWAKI,仓吉（KURAYOSHI）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
789,卡诗,非假洋牌(国产),低,需进一步核实,规则推断·未核验
790,牛栏（bebilon）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
791,巴斯克（Los Vascos）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
792,cure,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
793,卡蔓（Casmara）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
794,宝贝与我,非假洋牌(国产),低,需进一步核实,规则推断·未核验
795,"乐呋,野付",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
796,黛伦堡,非假洋牌(国产),低,需进一步核实,规则推断·未核验
797,Mrudee,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
798,"格兰纳里奇（GlenAllachie）,CITADELLE",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
799,维蕾德（WELEDA）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
800,乐敦（ROHTO）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
801,So Acai,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
802,Maxigenes,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
803,MODAMODA,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
804,"YOSHIKAWA,特福（Tefal）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
805,Original Sprout,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
806,GLGFAS,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
807,潤樽,非假洋牌(国产),低,需进一步核实,规则推断·未核验
808,little remedies,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
809,伯特小蜜蜂（Burt's Bees）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
810,RYUN,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
811,gli gli,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
812,拉格德克（LAGEDEKE）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
813,怀尔德,非假洋牌(国产),低,需进一步核实,规则推断·未核验
814,POLO GLOBAL LEAGUE,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
815,"阿华田（Ovaltine）,澳洲",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
816,"安格奥斯酒庄（Domaine Anne Gros）,卓龙梦特城堡（CHATEAU TROPLONG MONDOT）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
817,"NusaPure,pipingrock",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
818,POKALEN,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
819,"SIDERAL,WAXGREEN",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
820,"华大（BGI）,21金维他健优",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
821,"科拿（Conaprole）,德运（Devondale）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
